Container,SzTpHt,,Line,Location,Destination,Freight Kind,POD,Position,Booking,Category,Vessel / Voyage,Gross WT,Tare WT,,In Time,,Holds,Commodity,Haz Details,Temp Req,Units,On Dock,OOG
FCIU8919067,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX787609-CB2,ZIMUORF0833461,EXPRT,GIAN / 44,26056,4000,,,,,,,,,N,
CAXU9315065,40GP96,,ZIM,RAILCAR,,FCL,DCB,R-DTTX788415-AB1,ZIMUORF0832585,EXPRT,GIAN / 44,22014.2,4000,,,,,,,,,N,
TCNU5414544,40GP96,,ZIM,RAILCAR,,FCL,DCB,R-SMW210605-AT1,ZIMUORF0832585,EXPRT,GIAN / 44,30148.92,3840,,,,,,,,,N,
TCNU8930293,40GP96,,ZIM,RAILCAR,,FCL,DCB,R-DTTX788415-CB1,ZIMUORF0832585,EXPRT,GIAN / 44,22044.14,4000,,,,,,,,,N,
TGBU5968079,40GP96,,ZIM,RAILCAR,,FCL,DCB,R-DTTX765150-AB1,ZIMUORF0832585,EXPRT,GIAN / 44,21844.1,4000,,,,,,,,,N,
TGHU6413462,40GP96,,ZIM,RAILCAR,,FCL,DCB,R-DTTX455882-AB1,ZIMUORF0832585,EXPRT,GIAN / 44,30198.82,4000,,,,,,,,,N,
TRLU5319560,40GP96,,ZIM,RAILCAR,,FCL,DCB,R-DTTX765150-CB1,ZIMUORF0832585,EXPRT,GIAN / 44,22024.18,4000,,,,,,,,,N,
ZCSU2731494,40GP86,,ZIM,RAILCAR,,FCL,DCB,R-DTTX449691-AT1,ZIMUORF0832580,EXPRT,GIAN / 44,30028.72,3720,,,,,,,,,N,
XINU1307292,20GP86,,ZIM,RAILCAR,,FCL,PKG,R-DTTX885023-BB2,SSPHTRT0095738,EXPRT,GIAN / 44,20099,2199,,,,,,,,,N,
ZCSU2607586,40GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX721124-AT1,ZIMUTRT0096122,EXPRT,GIAN / 44,5748,3800,,,,,,,,,N,
ZIMU3024330,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX759396-EB2,ZIMUMTL0074222,EXPRT,GIAN / 44,22321,2350,,,,,,,,,N,
JXLU2789500,40GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX744287-DB1,ZIMUTRT0095869,EXPRT,GIAN / 44,29378,3800,,,,,,,,,N,
ZCSU2649088,40GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX744287-EB1,ZIMUTRT0095869,EXPRT,GIAN / 44,29378,3800,,,,,,,,,N,
GLDU5105880,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX785284-AB1,ZIMUMTL0073957,EXPRT,GIAN / 44,25772,2160,,,,,,,,,N,
TGHU6282790,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-CP523117-BB1,ZIMUTRT0096080,EXPRT,GIAN / 44,20976,3855,,,,,,,,,N,
ZCSU8247574,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX62748-BB1,ZIMUVAN934444,EXPRT,GIAN / 44,5461,4000,,,,,,,,,N,
BSIU9705160,40GP96,,ZIM,RAILCAR,,FCL,DCB,R-DTTX459084-AT1,ZIMUORF0832580,EXPRT,GIAN / 44,30078.62,4000,,,,,,,,,N,
ZCSU7112620,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-CP527630-AT1,ZIMUORF0831106,EXPRT,GIAN / 44,25955,4000,,,,,,,,,N,
TCNU8540567,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-FEC72015-AB1,ZIMUORF0833461,EXPRT,GIAN / 44,26125,4000,,,,,,,,,N,
TCNU2983589,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX760112-CB1,ZIMUVAN934386,EXPRT,GIAN / 44,4793.11,3699.95,,,,,,,,,N,
GCXU5083839,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX760112-BB1,ZIMUVAN934442,EXPRT,GIAN / 44,4814.88,4000,,,,,,,,,N,
DFSU6487754,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX721124-BB1,ZIMUTRT0095862,EXPRT,GIAN / 44,8200,3801,,,,,,,,,N,
FCIU4121926,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX466580-AB1,ZIMUTRT0095241,EXPRT,GIAN / 44,23516,2350,,,,,,,,,N,
XINU1379348,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX787206-AB2,ZIMUTRT0095241,EXPRT,GIAN / 44,23521,2350,,,,,,,,,N,
TEMU4668631,20GP86,,ZIM,RAILCAR,,FCL,PKG,R-DTTX659614-AB2,SSPHTRT0095738,EXPRT,GIAN / 44,20335,2350,,,,,,,,,N,
TCNU5545760,40GP96,,ZIM,TRAIN,,FCL,PUS,R-GEN_TRAIN,ZIMUMTL902745,EXPRT,GIAN / 44,25405,4000,,,,,,,,,N,
CAIU6357194,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX765913-BB2,ZIMUMTL0073957,EXPRT,GIAN / 44,25798,2150,,,,,,,,,N,
ZCSU8658847,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX449875-AB2,ZIMUORF0833461,EXPRT,GIAN / 44,26125,4000,,,,,,,,,N,
ZCSU8917697,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX787609-BB2,ZIMUORF0833461,EXPRT,GIAN / 44,26125,4000,,,,,,,,,N,
TCNU5646299,40GP96,,ZIM,RAILCAR,,FCL,DCB,R-DTTX740460-AB1,ZIMUTRT0096003,EXPRT,GIAN / 44,20828.96,4000,,,,,,,,,N,
TCNU8931643,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX760542-AB1,ZIMUMTL902745,EXPRT,GIAN / 44,24810,3900,,,,,,,,,N,
TEMU3418725,20GP86,,ZIM,TRAIN,,FCL,PKG,R-GEN_TRAIN,SSPHTRT0095604,EXPRT,GIAN / 44,22591,2200,,,,,,,,,N,
TEMU4233388,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-CN677060-AB2,ZIMUTRT0095946,EXPRT,GIAN / 44,23181,2181,,,,,,,,,N,
ZCSU8880900,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX62748-DB1,ZIMUVAN934443,EXPRT,GIAN / 44,5593,4000,,,,,,,,,N,
